1509429033.6003839970	0.0000	0.0000	0.000000	0.0000	22511
1509429033.7052230835	0.0000	0.0000	0.000000	0.0000	23001
1509429033.8101150990	64502.4219	-62367.4444	0.000000	17.8180	23009
1509429033.9149649143	64503.1046	-62367.4356	0.001336	17.8200	23210
1509429034.0197288990	64503.4146	-62366.4314	0.758064	17.8200	23252
1509429034.1247611046	64503.4452	-62366.4024	0.758273	17.8200	23374
1509429034.2294189930	64503.5733	-62366.0654	0.867324	17.8200	23364
1509429034.3343949318	64503.9006	-62365.6147	0.893121	17.8200	23151
1509429034.4391028881	64504.1584	-62365.2605	0.905108	17.8220	23201
1509429034.5439829826	64504.4591	-62364.8624	0.910781	17.8270	23229
1509429034.6487610340	64504.7326	-62364.5033	0.913871	17.8310	23113
1509429034.7536599636	64505.0374	-62364.1056	0.915878	17.8370	23066
1509429034.8584649563	64505.3030	-62363.7591	0.917744	17.8360	22836
1509429034.9633979797	64505.6279	-62363.3345	0.919968	17.8310	23009
1509429035.0681650639	64505.8939	-62362.9856	0.922409	17.8320	23071
1509429035.1729879379	64506.1920	-62362.5924	0.925012	17.8330	22578
1509429035.2778639793	64506.4642	-62362.2317	0.927790	17.8360	22615
1509429035.3827209473	64506.7827	-62361.8071	0.930656	17.8370	22532
1509429035.4875020981	64507.0377	-62361.4654	0.933376	17.8430	22571
1509429035.5923280716	64507.5274	-62360.8043	0.936801	17.8430	22643
1509429035.6972210407	64507.5838	-62360.7282	0.938487	17.8490	23040
1509429035.8020069599	64507.9331	-62360.2529	0.941021	17.8520	23462
1509429035.9068369865	64508.1791	-62359.9165	0.943358	17.8580	23716
1509429036.0117220879	64508.4887	-62359.4907	0.945783	17.8600	23783
1509429036.1165540218	64508.7491	-62359.1304	0.948263	17.8610	23781
1509429036.2214028835	64509.0553	-62358.7047	0.950845	17.8660	23871
1509429036.3262660503	64509.3106	-62358.3477	0.953511	17.8690	23853
1509429036.4310610294	64509.6257	-62357.9048	0.956472	17.8750	23817
1509429036.5358870029	64509.8696	-62357.5594	0.960103	17.8810	23901
1509429036.6408059597	64510.1800	-62357.1164	0.963903	17.8940	23948
1509429036.7455980778	64510.5346	-62356.6057	0.968832	17.8940	23969
1509429036.8504030704	64510.6947	-62356.3728	0.972257	17.9000	24062
1509429036.9552760124	64510.9740	-62355.9640	0.976748	17.9030	24144
1509429037.0600941181	64511.2635	-62355.5359	0.981133	17.9050	24071
1509429037.1649420261	64511.5077	-62355.1720	0.985587	17.9100	24196
1509429037.2697920799	64511.7842	-62354.7559	0.990021	17.8970	24336
1509429037.3745989799	64512.0356	-62354.3741	0.994278	17.8900	24387
1509429037.4794890881	64512.3298	-62353.9231	0.998481	17.8890	24070
1509429037.5843770504	64512.5594	-62353.5677	1.002632	17.8930	23753
1509429037.6891460419	64512.8252	-62353.1525	1.007041	17.9020	23549
1509429037.7939670086	64513.0812	-62352.7481	1.011713	17.9080	23740
1509429037.8988280296	64513.3277	-62352.3547	1.016174	17.9180	24285
1509429038.0036420822	64513.5784	-62351.9501	1.020913	17.9220	24683
1509429038.1085300446	64513.8043	-62351.5813	1.025963	17.9240	24686
1509429038.2133429050	64514.0603	-62351.1571	1.032063	17.9340	24740
1509429038.3182199001	64514.2874	-62350.7744	1.038870	17.9410	24690
1509429038.4229679108	64514.5334	-62350.3534	1.045112	17.9560	24889
1509429038.5278348923	64514.7431	-62349.9899	1.050533	17.9770	24820
1509429038.6326580048	64515.0815	-62349.3966	1.056729	17.9770	24754
1509429038.7376708984	64515.1730	-62349.2328	1.060394	17.9970	24788
1509429038.8423480988	64515.4322	-62348.7668	1.065815	18.0010	24793
1509429038.9472219944	64515.6368	-62348.3922	1.071573	18.0010	24827
1509429039.0521490574	64515.8702	-62347.9590	1.076883	18.0060	24656
1509429039.1570310593	64516.0670	-62347.5898	1.081153	18.0130	24444
1509429039.2617559433	64516.2961	-62347.1570	1.085745	18.0150	24075
